25 25 .25
    0.0000    0.0001    0.0002    0.0006    0.0011    0.0017    0.0014   -0.0017   -0.0100   -0.0251   -0.0458   -0.0670   -0.0817   -0.0842   -0.0743   -0.0562   -0.0367   -0.0206   -0.0099   -0.0041   -0.0014   -0.0004   -0.0001   -0.0000   -0.0000
    0.0001    0.0002    0.0005    0.0013    0.0025    0.0034    0.0015   -0.0081   -0.0320   -0.0739   -0.1303   -0.1872   -0.2256   -0.2312   -0.2030   -0.1533   -0.0997   -0.0559   -0.0269   -0.0111   -0.0039   -0.0011   -0.0003   -0.0000   -0.0000
    0.0001    0.0004    0.0011    0.0026    0.0049    0.0063    0.0009   -0.0224   -0.0782   -0.1753   -0.3050   -0.4355   -0.5231   -0.5349   -0.4688   -0.3533   -0.2293   -0.1280   -0.0614   -0.0251   -0.0087   -0.0025   -0.0006   -0.0001   -0.0000
    0.0002    0.0006    0.0019    0.0047    0.0091    0.0119    0.0025   -0.0408   -0.1461   -0.3314   -0.5812   -0.8350   -1.0073   -1.0330   -0.9064   -0.6825   -0.4414   -0.2448   -0.1159   -0.0464   -0.0155   -0.0042   -0.0008   -0.0001    0.0000
    0.0002    0.0009    0.0029    0.0076    0.0156    0.0233    0.0151   -0.0428   -0.1974   -0.4826   -0.8797   -1.2945   -1.5865   -1.6433   -1.4489   -1.0907   -0.7008   -0.3829   -0.1764   -0.0674   -0.0205   -0.0045   -0.0004    0.0002    0.0001
    0.0002    0.0010    0.0034    0.0100    0.0234    0.0424    0.0511    0.0077   -0.1540   -0.4928   -1.0015   -1.5654   -1.9910   -2.1088   -1.8794   -1.4138   -0.8956   -0.4733   -0.2042   -0.0682   -0.0147    0.0002    0.0021    0.0012    0.0005
   -0.0002    0.0001    0.0018    0.0084    0.0263    0.0617    0.1088    0.1308    0.0494   -0.2266   -0.7290   -1.3585   -1.8934   -2.1085   -1.9205   -1.4385   -0.8783   -0.4237   -0.1468   -0.0220    0.0143    0.0151    0.0085    0.0035    0.0012
   -0.0011   -0.0027   -0.0048   -0.0040    0.0100    0.0556    0.1495    0.2786    0.3690    0.2942   -0.0462   -0.6149   -1.2014   -1.5341   -1.4666   -1.0743   -0.5792   -0.1854    0.0264    0.0887    0.0754    0.0442    0.0204    0.0077    0.0025
   -0.0029   -0.0081   -0.0188   -0.0344   -0.0434   -0.0142    0.1002    0.3279    0.6186    0.8179    0.7416    0.3322   -0.2413   -0.6717   -0.7407   -0.4750   -0.0910    0.1936    0.2945    0.2562    0.1665    0.0870    0.0378    0.0139    0.0043
   -0.0055   -0.0163   -0.0408   -0.0848   -0.1411   -0.1699   -0.0935    0.1649    0.5943    1.0287    1.2088    0.9808    0.4654   -0.0016   -0.1378    0.0679    0.3920    0.5955    0.5927    0.4486    0.2733    0.1380    0.0587    0.0212    0.0066
