10 10  5.0
4.5     4.5     4.5     4.5     4.5     4.5     4.5     1.0     0.0     0.0
4.5     4.5     4.5     4.5     4.5     4.5     1.0     0.0     0.0     4.5
4.5     4.5     4.5     4.5     4.5     4.5     0.0     0.0     4.5     4.5
4.5     4.5     4.5     4.5     4.5     0.0     0.0     2.5     4.5     4.5
0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.5     4.5     4.5
4.5     4.5     4.5     4.5     4.5     2.5     0.0     4.5     4.5     4.5
4.5     4.5     4.5     4.5     4.5     0.0     0.0     4.5     4.5     4.5
4.5     4.5     4.5     4.5     0.0     0.0     1.5     4.5     4.5     4.5
4.5     4.5     4.5     0.0     0.0     1.5     4.5     4.5     4.5     4.5
4.5     4.5     0.0     0.0     1.5     4.5     4.5     4.5     4.5     4.5
