40 40 0.5
2.46 2.46 2.46 2.25 1.39 0.145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.48 2.4 2.48 2.48 2.025 1.21 0.145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1.825 2.17 2.48 2.5 2.46 2.025 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.4 2.17 2.48 2.48 2.5 2.4 1.86 0.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.48 2.17 2.305 2.46 2.48 2.48 2.345 1.575 0.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.345 2.5 2.155 2.48 2.48 2.46 2.5 2.25 1.54 0.345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1.735 2.345 2.48 2.17 2.46 2.48 2.5 2.48 2.115 1.21 0.095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.805 1.735 2.345 2.48 2.305 2.5 2.42 2.5 2.46 1.95 0.94 0.095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0.805 1.735 2.25 2.5 2.345 2.48 2.345 2.5 2.345 1.95 1.175 0.145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0.685 1.575 2.25 2.48 2.46 2.46 2.5 2.48 2.42 2.025 1.325 0.525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0.58 1.44 2.025 2.46 2.5 2.48 2.48 2.5 2.42 2.17 1.54 0.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0.145 1.21 2.025 2.42 2.48 2.5 2.46 2.5 2.46 2.25 1.575 0.805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0.145 1.175 2.025 2.46 2.48 2.48 2.48 2.48 2.5 2.345 1.75 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0.145 1.21 2.025 2.42 2.48 2.48 2.48 2.48 2.48 2.4 1.735 0.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0.145 1.175 1.95 2.42 2.5 2.48 2.5 2.46 2.48 2.25 1.54 0.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0.095 1.325 2.115 2.48 2.48 2.48 2.5 2.25 2.46 2.25 1.44 0.145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0.345 1.39 2.025 2.46 2.5 2.5 2.48 2.25 2.46 2.025 1.39 0.345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
